155.818,144.007,157.514,1083
245.674,105.498,182.029,105.575
253.469,120.312,246.194,107.141
293.19,42.0136,293.395,106.996
301.699,30.8413,294.402,41.5864
318.786,18.9049,302.05,31.0332
638.002,18.7882,319.008,19.6553
654.324,29.6085,638.133,18.7208
662.735,40.4622,654.676,29.4096
663.93,105.972,663.9,41.001
710.893,106.087,703.898,118.667
720.934,103.651,711.107,105.41
776.08,103.825,721,104.046
801.314,139.976,799.237,117.868
803.517,1082,802.139,139.991
803.824,1160.01,804.132,1082
719.014,1182.06,771,1182.01
700.758,1161.09,717.029,1183.33
666.578,1244.99,666.519,1179.98
658.725,1255.63,665.683,1245.48
642.375,1267.1,658.634,1255.68
322.018,1267.93,642.988,1267.62
295.887,1181.04,296.141,1246
248.999,1180.73,255.847,1168.03
238.041,1183.14,248.738,1181.6
183.985,1182.74,237.999,1182.85
157.237,1083,158.876,1167.32
